time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance
2048,2074,2048.0,0,-13.287432,1,,,,,,,,,,
4096,1330,2048.0,3,14.538252999999997,2,0.3970485329627991,0.2,-0.023590616292494815,0.7653538015671074,-1.0867719870060681,0.015617549,0.175390625,10,0.0003,-0.04515337944030762
6144,1213,2048.0,5,49.332437,3,0.29096198081970215,0.2,-0.025089338105317438,0.49941244162619114,-1.0538295481353999,0.019452874,0.155517578125,20,0.0003,-0.0012798309326171875
8192,678,2048.0,12,71.12577275,4,0.12051479518413544,0.2,-0.015816559255472384,0.3658467576373369,-1.0171646639704703,0.010731888,0.092822265625,30,0.0003,0.009739816188812256
10240,716,2048.0,14,90.6431478,5,0.1443222463130951,0.2,-0.011602316516655265,0.4036838809493929,-0.9973363324999809,0.007338577,0.08349609375,40,0.0003,0.043651282787323
12288,757,2048.0,16,107.3667825,6,0.2434379607439041,0.2,-0.012089402561832685,0.4227128893136978,-0.9344956658780574,0.014663771,0.104296875,50,0.0003,0.051017820835113525
14336,602,2048.0,23,123.57408814285714,7,0.24005720019340515,0.2,-0.004790205774770584,0.5740196214988827,-0.9260966643691063,0.008990962,0.064697265625,60,0.0003,0.07739144563674927
16384,638,2048.0,25,135.687326625,8,0.29341304302215576,0.2,-0.0057206673634937035,0.747630070336163,-0.8838158754631877,0.0067968015,0.045703125,70,0.0003,0.058147311210632324
18432,668,2048.0,27,144.0203132222222,9,0.7828824520111084,0.2,-0.0033432397169235626,0.6551381018012762,-0.8416119458153843,0.005869288,0.0744140625,80,0.0003,0.06902337074279785
20480,678,2048.0,30,150.2670028,10,0.296038419008255,0.2,-0.003935480675136205,0.63417843952775,-0.8522114140912891,0.007082323,0.07099609375,90,0.0003,0.06761980056762695
22528,595,2048.0,37,157.3830869090909,11,0.3268020749092102,0.2,-0.0014777710304770153,0.7914449693635106,-0.846391974389553,0.0046252823,0.04765625,100,0.0003,0.06372106075286865
24576,616,2048.0,39,161.24621966666666,12,0.1814431995153427,0.2,-0.0029465521598467602,0.6670139319263398,-0.8364390509203077,0.004645983,0.03427734375,110,0.0003,0.05058395862579346
26624,633,2048.0,41,167.2791196923077,13,0.19916799664497375,0.2,-0.004030854297161568,0.5999374769628047,-0.8425363663583993,0.006592407,0.07119140625,120,0.0003,0.051388561725616455
28672,583,2048.0,49,171.86595742857142,14,1.048704743385315,0.2,-0.00034408073261147363,0.8343048799782992,-0.832793564721942,0.0025566437,0.05078125,130,0.0003,0.06004452705383301
30720,598,2048.0,51,174.717059,15,0.451327383518219,0.2,-0.0016620679722109343,0.7575296061113477,-0.8396964119747281,0.004145995,0.051611328125,140,0.0003,0.06500577926635742
32768,611,2048.0,53,179.59637756249998,16,0.26584017276763916,0.2,-0.00358390655965195,0.8019597707316279,-0.8689581727609038,0.0058919042,0.08681640625,150,0.0003,0.0439600944519043
34816,566,2048.0,61,182.68354229411764,17,0.14001435041427612,0.2,-0.003274295450682985,0.9130563813261687,-0.8149650376290083,0.004758819,0.05283203125,160,0.0003,0.05598783493041992
36864,576,2048.0,63,186.29241594444443,18,0.4201209843158722,0.2,-0.0018741960200713947,0.8840933112427592,-0.8019067846238613,0.005281748,0.045947265625,170,0.0003,0.05959177017211914
38912,585,2048.0,66,187.04143136842103,19,0.9652013182640076,0.2,-0.002532844898814801,0.8820534517988563,-0.7938806725665927,0.0065905554,0.061376953125,180,0.0003,0.0489811897277832
40960,557,2048.0,73,190.43175064999997,20,0.20170392096042633,0.2,-0.003853022811381379,0.7068450210615993,-0.8250576497986912,0.005845941,0.07705078125,190,0.0003,0.04378044605255127
43008,568,2048.0,75,192.66103557142856,21,0.7142189741134644,0.2,-0.0014188424953317734,0.9457166507840157,-0.806592195853591,0.003920332,0.055224609375,200,0.0003,0.053710997104644775
45056,575,2048.0,78,194.74174009090905,22,0.84186190366745,0.2,-0.0003176159756549168,1.1234735472127795,-0.8045417340472341,0.0061570024,0.05576171875,210,0.0003,0.06179755926132202
